Year,Warm,Cold
2020,5.0,1.0
2021,1.0,5.0
2022,3.0,0.0
2023,2.0,6.0
2024,1.0,6.0
2025,3.0,3.0
2026,2.0,8.0
2027,3.0,3.0
2028,4.0,4.0
2029,3.0,6.0
2030,4.0,5.0
2031,3.0,6.0
2032,2.0,4.0
2033,1.0,4.0
2034,1.0,2.0
2035,0.0,6.0
2036,1.0,4.0
2037,1.0,6.0
2038,3.0,1.0
2039,1.0,6.0
2040,2.0,7.0
2041,2.0,2.0
2042,2.0,4.0
2043,4.0,3.0
2044,2.0,4.0
2045,5.0,4.0
2046,2.0,4.0
2047,2.0,4.0
2048,2.0,4.0
2049,3.0,5.0
2050,1.0,5.0
2051,0.0,3.0
2052,0.0,2.0
2053,3.0,5.0
2054,1.0,5.0
2055,2.0,5.0
2056,0.0,5.0
2057,1.0,2.0
2058,2.0,8.0
2059,0.0,4.0
2060,1.0,4.0
2061,0.0,3.0
2062,1.0,2.0
2063,1.0,5.0
2064,2.0,5.0
2065,2.0,5.0
2066,2.0,7.0
2067,3.0,5.0
2068,1.0,2.0
2069,0.0,4.0
2070,2.0,2.0
2071,1.0,9.0
2072,2.0,7.0
2073,3.0,5.0
2074,3.0,5.0
2075,2.0,4.0
2076,3.0,4.0
2077,0.0,7.0
2078,2.0,5.0
2079,2.0,1.0
2080,0.0,2.0
2081,1.0,6.0
2082,2.0,2.0
2083,3.0,6.0
2084,0.0,5.0
2085,1.0,8.0
2086,0.0,1.0
2087,0.0,3.0
2088,3.0,3.0
2089,2.0,6.0
2090,1.0,2.0
2091,4.0,3.0
2092,1.0,4.0
2093,1.0,2.0
2094,0.0,3.0
2095,1.0,3.0
2096,3.0,3.0
2097,1.0,6.0
2098,2.0,2.0
2099,2.0,3.0
2100,2.0,4.0
