Year,Warm,Cold
2020,2.0,4.0
2021,1.0,2.0
2022,0.0,11.0
2023,0.0,4.0
2024,0.0,5.0
2025,2.0,3.0
2026,3.0,4.0
2027,0.0,5.0
2028,2.0,7.0
2029,2.0,4.0
2030,3.0,3.0
2031,1.0,4.0
2032,1.0,3.0
2033,1.0,5.0
2034,0.0,7.0
2035,3.0,7.0
2036,1.0,4.0
2037,1.0,5.0
2038,2.0,2.0
2039,0.0,8.0
2040,1.0,4.0
2041,1.0,7.0
2042,2.0,2.0
2043,1.0,3.0
2044,2.0,4.0
2045,2.0,2.0
2046,1.0,4.0
2047,5.0,3.0
2048,2.0,3.0
2049,3.0,4.0
2050,3.0,6.0
2051,0.0,7.0
2052,0.0,4.0
2053,0.0,7.0
2054,0.0,5.0
2055,1.0,2.0
2056,1.0,6.0
2057,1.0,4.0
2058,1.0,6.0
2059,0.0,5.0
2060,0.0,4.0
2061,0.0,6.0
2062,1.0,3.0
2063,2.0,1.0
2064,2.0,5.0
2065,2.0,5.0
2066,1.0,4.0
2067,4.0,5.0
2068,4.0,2.0
2069,2.0,4.0
2070,3.0,4.0
2071,1.0,7.0
2072,2.0,1.0
2073,0.0,1.0
2074,1.0,6.0
2075,0.0,7.0
2076,1.0,4.0
2077,3.0,4.0
2078,1.0,2.0
2079,2.0,2.0
2080,4.0,5.0
2081,2.0,3.0
2082,1.0,4.0
2083,1.0,4.0
2084,2.0,4.0
2085,2.0,5.0
2086,1.0,5.0
2087,1.0,5.0
2088,1.0,6.0
2089,2.0,3.0
2090,0.0,3.0
2091,1.0,3.0
2092,2.0,5.0
2093,0.0,3.0
2094,0.0,3.0
2095,1.0,4.0
2096,1.0,3.0
2097,0.0,6.0
2098,1.0,3.0
2099,1.0,4.0
2100,0.0,2.0
