Year,Warm,Cold
2020,3.0,4.0
2021,2.0,3.0
2022,1.0,4.0
2023,2.0,9.0
2024,1.0,2.0
2025,1.0,5.0
2026,3.0,5.0
2027,2.0,4.0
2028,4.0,2.0
2029,1.0,7.0
2030,0.0,5.0
2031,3.0,2.0
2032,1.0,2.0
2033,3.0,1.0
2034,1.0,4.0
2035,4.0,3.0
2036,2.0,7.0
2037,1.0,2.0
2038,2.0,6.0
2039,1.0,6.0
2040,2.0,2.0
2041,0.0,2.0
2042,1.0,6.0
2043,3.0,3.0
2044,1.0,3.0
2045,1.0,2.0
2046,1.0,4.0
2047,1.0,6.0
2048,0.0,9.0
2049,1.0,0.0
2050,2.0,9.0
2051,2.0,1.0
2052,0.0,3.0
2053,1.0,1.0
2054,0.0,0.0
2055,2.0,3.0
2056,2.0,4.0
2057,1.0,4.0
2058,2.0,3.0
2059,1.0,3.0
2060,1.0,3.0
2061,1.0,3.0
2062,2.0,2.0
2063,2.0,4.0
2064,0.0,4.0
2065,2.0,6.0
2066,2.0,3.0
2067,4.0,6.0
2068,2.0,4.0
2069,1.0,3.0
2070,3.0,6.0
2071,1.0,7.0
2072,3.0,5.0
2073,0.0,4.0
2074,1.0,5.0
2075,0.0,2.0
2076,3.0,2.0
2077,1.0,1.0
2078,0.0,5.0
2079,1.0,3.0
2080,3.0,6.0
2081,3.0,5.0
2082,1.0,5.0
2083,2.0,3.0
2084,2.0,4.0
2085,0.0,4.0
2086,2.0,3.0
2087,2.0,6.0
2088,4.0,4.0
2089,1.0,4.0
2090,2.0,2.0
2091,2.0,3.0
2092,0.0,5.0
2093,1.0,5.0
2094,1.0,4.0
2095,0.0,5.0
2096,3.0,4.0
2097,2.0,6.0
2098,1.0,4.0
2099,2.0,5.0
2100,0.0,5.0
