Year,Warm,Cold
2020,2.0,8.0
2021,1.0,4.0
2022,2.0,10.0
2023,1.0,2.0
2024,2.0,7.0
2025,1.0,2.0
2026,2.0,3.0
2027,0.0,3.0
2028,3.0,3.0
2029,1.0,6.0
2030,0.0,0.0
2031,1.0,7.0
2032,1.0,3.0
2033,0.0,3.0
2034,4.0,3.0
2035,1.0,3.0
2036,0.0,5.0
2037,3.0,5.0
2038,1.0,6.0
2039,0.0,4.0
2040,3.0,1.0
2041,0.0,8.0
2042,0.0,5.0
2043,0.0,3.0
2044,0.0,6.0
2045,0.0,2.0
2046,2.0,2.0
2047,0.0,4.0
2048,1.0,6.0
2049,0.0,10.0
2050,1.0,3.0
2051,1.0,3.0
2052,1.0,5.0
2053,0.0,5.0
2054,4.0,4.0
2055,0.0,3.0
2056,2.0,2.0
2057,1.0,4.0
2058,1.0,2.0
2059,1.0,8.0
2060,0.0,4.0
2061,1.0,1.0
2062,1.0,3.0
2063,1.0,2.0
2064,2.0,2.0
2065,0.0,6.0
2066,0.0,2.0
2067,1.0,2.0
2068,0.0,3.0
2069,1.0,4.0
2070,3.0,2.0
2071,0.0,1.0
2072,1.0,7.0
2073,2.0,3.0
2074,0.0,4.0
2075,1.0,4.0
2076,2.0,5.0
2077,0.0,2.0
2078,1.0,5.0
2079,5.0,7.0
2080,0.0,4.0
2081,2.0,2.0
2082,3.0,4.0
2083,1.0,4.0
2084,2.0,6.0
2085,4.0,4.0
2086,2.0,4.0
2087,1.0,6.0
2088,2.0,1.0
2089,2.0,0.0
2090,5.0,2.0
2091,2.0,8.0
2092,0.0,5.0
2093,1.0,4.0
2094,1.0,1.0
2095,1.0,4.0
2096,2.0,2.0
2097,0.0,2.0
2098,1.0,1.0
2099,2.0,5.0
2100,1.0,2.0
